"seqnames","start","end","width","strand","sum_count","annotation"
"chr2",20145599,20145999,401,"*",6,"intergenic"
"chr2",20219614,20220014,401,"*",6,"intron"
"chr2",20246879,20247279,401,"*",5,"proximal"
"chr2",20254650,20255050,401,"*",42,"CDS"
"chr2",20270607,20271007,401,"*",19,"intron"
"chr2",20273261,20273661,401,"*",8,"intron"
"chr2",20275368,20275768,401,"*",5,"intron"
"chr2",20289246,20289646,401,"*",6,"intron"
"chr2",20293728,20294128,401,"*",12,"intron"
"chr2",20297824,20298224,401,"*",5,"intron"
"chr2",20307178,20307578,401,"*",5,"intron"
"chr2",20315710,20316110,401,"*",8,"intron"
"chr2",20321502,20321902,401,"*",8,"intron"
"chr2",20331819,20332219,401,"*",5,"fiveUTR"
"chr2",20344327,20344727,401,"*",5,"intron"
"chr2",23392341,23392741,401,"*",7,"intron"
"chr2",23694321,23694721,401,"*",4,"intron"
"chr2",23694369,23694769,401,"*",4,"intron"
"chr2",23785168,23785568,401,"*",4,"intron"
"chr2",23852351,23852751,401,"*",4,"intron"
"chr2",23855010,23855410,401,"*",6,"intron"
"chr2",23855129,23855529,401,"*",6,"intron"
"chr2",23869236,23869636,401,"*",4,"intron"
"chr2",23925891,23926291,401,"*",10,"proximal"
"chr2",23958036,23958436,401,"*",4,"fiveUTR"
"chr2",23976735,23977135,401,"*",6,"CDS"
"chr2",24027861,24028261,401,"*",9,"intron"
"chr2",24098152,24098552,401,"*",9,"intron"
"chr2",24098245,24098645,401,"*",9,"intron"
"chr2",24123756,24124156,401,"*",14,"promoter"
"chr2",24239654,24240054,401,"*",5,"threeUTR"
"chr2",24240637,24241037,401,"*",14,"threeUTR"
"chr2",24262543,24262943,401,"*",6,"intron"
"chr2",24275688,24276088,401,"*",15,"CDS"
"chr2",24297081,24297481,401,"*",4,"intron"
"chr2",24298462,24298862,401,"*",32,"CDS"
"chr2",24335032,24335432,401,"*",8,"exon"
"chr2",24341384,24341784,401,"*",6,"intron"
"chr2",24507360,24507760,401,"*",3,"intron"
"chr2",24529111,24529511,401,"*",4,"intron"
"chr2",24539328,24539728,401,"*",6,"intron"
"chr2",24544140,24544540,401,"*",5,"intron"
"chr2",24659586,24659986,401,"*",4,"intron"
"chr2",24659789,24660189,401,"*",4,"intron"
"chr2",24661029,24661429,401,"*",4,"intron"
"chr2",24686154,24686554,401,"*",5,"intron"
"chr2",24714723,24715123,401,"*",6,"intron"
"chr2",24729810,24730210,401,"*",6,"CDS"
"chr2",24753749,24754149,401,"*",5,"intron"
"chr2",24824208,24824608,401,"*",12,"proximal"
"chr2",24899961,24900361,401,"*",4,"intron"
"chr2",24907892,24908292,401,"*",5,"intron"
"chr2",25155579,25155979,401,"*",10,"threeUTR"
"chr2",25227870,25228270,401,"*",2,"threeUTR"
"chr2",25262185,25262585,401,"*",10,"intron"
"chr2",25427594,25427994,401,"*",3,"promoter"
"chr2",25430734,25431134,401,"*",5,"intron"
"chr2",25433800,25434200,401,"*",9,"threeUTR"
"chr2",25437485,25437885,401,"*",5,"intron"
"chr2",25449368,25449768,401,"*",10,"intron"
"chr2",25450047,25450447,401,"*",4,"intron"
"chr2",25531244,25531644,401,"*",4,"threeUTR"
"chr2",25781532,25781932,401,"*",8,"intron"
"chr2",25859470,25859870,401,"*",5,"intron"
"chr2",25928578,25928978,401,"*",4,"threeUTR"
"chr2",26051024,26051424,401,"*",6,"intron"
"chr2",26060730,26061130,401,"*",6,"intron"
"chr2",26125787,26126187,401,"*",4,"intron"
"chr2",26256297,26256697,401,"*",7,"intron"
"chr2",26279010,26279410,401,"*",17,"CDS"
"chr2",26285010,26285410,401,"*",3,"CDS"
"chr2",26287719,26288119,401,"*",6,"intron"
"chr2",26379299,26379699,401,"*",5,"intron"
"chr2",26379404,26379804,401,"*",5,"intron"
"chr2",26381868,26382268,401,"*",4,"intron"
"chr2",27025276,27025676,401,"*",5,"CDS"
"chr2",27057291,27057691,401,"*",4,"CDS"
"chr2",27164072,27164472,401,"*",7,"intergenic"
"chr2",27200249,27200649,401,"*",7,"threeUTR"
"chr2",27203512,27203912,401,"*",7,"proximal"
"chr2",27215571,27215971,401,"*",5,"proximal"
"chr2",27233361,27233761,401,"*",5,"proximal"
"chr2",27318447,27318847,401,"*",5,"intron"
"chr2",27322423,27322823,401,"*",10,"promoter"
"chr2",27326841,27327241,401,"*",8,"threeUTR"
"chr2",27338276,27338676,401,"*",5,"promoter"
"chr2",27344085,27344485,401,"*",5,"intron"
"chr2",27428763,27429163,401,"*",35,"promoter"
"chr2",27441148,27441548,401,"*",4,"proximal"
"chr2",27472887,27473287,401,"*",5,"proximal"
"chr2",27582584,27582984,401,"*",8,"promoter"
"chr2",27585381,27585781,401,"*",12,"intron"
"chr2",27595059,27595459,401,"*",7,"intron"
"chr2",27621699,27622099,401,"*",4,"threeUTR"
"chr2",27634609,27635009,401,"*",9,"threeUTR"
"chr2",27639875,27640275,401,"*",8,"CDS"
"chr2",27653374,27653774,401,"*",4,"threeUTR"
"chr2",27657382,27657782,401,"*",8,"CDS"
"chr2",27659980,27660380,401,"*",4,"intron"
"chr2",27661989,27662389,401,"*",4,"fiveUTR"
"chr2",27890121,27890521,401,"*",60,"promoter"
"chr2",27931501,27931901,401,"*",6,"intron"
"chr2",28137785,28138185,401,"*",10,"intron"
"chr2",28156133,28156533,401,"*",5,"intron"
"chr2",28243528,28243928,401,"*",5,"intron"
"chr2",28751194,28751594,401,"*",128,"promoter"
"chr2",28759813,28760213,401,"*",7,"exon"
"chr2",28783676,28784076,401,"*",15,"threeUTR"
"chr2",28799154,28799554,401,"*",19,"threeUTR"
"chr2",28860478,28860878,401,"*",4,"intron"
"chr2",28862220,28862620,401,"*",6,"proximal"
"chr2",28895252,28895652,401,"*",11,"proximal"
"chr2",28913291,28913691,401,"*",5,"promoter"
"chr2",28916552,28916952,401,"*",5,"intron"
"chr2",28924777,28925177,401,"*",11,"promoter"
"chr2",28925623,28926023,401,"*",7,"intron"
"chr2",28931514,28931914,401,"*",6,"intron"
"chr2",28932628,28933028,401,"*",3,"intron"
"chr2",28935406,28935806,401,"*",7,"CDS"
"chr2",28937772,28938172,401,"*",8,"CDS"
"chr2",29115791,29116191,401,"*",7,"intron"
"chr2",29133436,29133836,401,"*",20,"threeUTR"
"chr2",29142986,29143386,401,"*",4,"intron"
"chr2",29152557,29152957,401,"*",15,"threeUTR"
"chr2",29156248,29156648,401,"*",6,"threeUTR"
"chr2",29162312,29162712,401,"*",8,"promoter"
"chr2",29163834,29164234,401,"*",12,"threeUTR"
"chr2",29166789,29167189,401,"*",5,"promoter"
"chr2",29171973,29172373,401,"*",8,"exon"
"chr2",29177706,29178106,401,"*",8,"intron"
"chr2",30092435,30092835,401,"*",4,"intron"
"chr2",30158939,30159339,401,"*",15,"threeUTR"
"chr2",30159024,30159424,401,"*",5,"threeUTR"
"chr2",30508789,30509189,401,"*",4,"intron"
"chr2",30526033,30526433,401,"*",11,"intron"
"chr2",31847901,31848301,401,"*",5,"intergenic"
"chr2",31903615,31904015,401,"*",8,"intron"
"chr2",31934346,31934746,401,"*",5,"intron"
"chr2",31939912,31940312,401,"*",6,"intron"
"chr2",32006776,32007176,401,"*",10,"intron"
"chr2",32006981,32007381,401,"*",10,"intron"
"chr2",32009863,32010263,401,"*",5,"fiveUTR"
"chr2",32068042,32068442,401,"*",4,"intron"
"chr2",32085706,32086106,401,"*",5,"intron"
"chr2",32092166,32092566,401,"*",4,"intron"
"chr2",32120111,32120511,401,"*",7,"intron"
"chr2",32156837,32157237,401,"*",14,"threeUTR"
"chr2",32192099,32192499,401,"*",8,"threeUTR"
"chr2",32194576,32194976,401,"*",6,"intron"
"chr2",32199250,32199650,401,"*",4,"intron"
"chr2",32206231,32206631,401,"*",4,"intron"
"chr2",32217953,32218353,401,"*",5,"intron"
"chr2",32284715,32285115,401,"*",4,"intron"
"chr2",32363015,32363415,401,"*",4,"intron"
"chr2",32375371,32375771,401,"*",12,"intron"
"chr2",32401378,32401778,401,"*",4,"CDS"
"chr2",32404734,32405134,401,"*",6,"intron"
"chr2",32432809,32433209,401,"*",7,"proximal"
"chr2",32452890,32453290,401,"*",5,"intron"
"chr2",32464373,32464773,401,"*",9,"CDS"
"chr2",32499518,32499918,401,"*",4,"CDS"
"chr2",32504862,32505262,401,"*",4,"CDS"
"chr2",32509722,32510122,401,"*",6,"promoter"
"chr2",32521933,32522333,401,"*",5,"promoter"
"chr2",32522025,32522425,401,"*",5,"promoter"
"chr2",32529667,32530067,401,"*",7,"CDS"
"chr2",32549590,32549990,401,"*",17,"intron"
"chr2",32550124,32550524,401,"*",8,"intron"
"chr2",32761816,32762216,401,"*",7,"intron"
"chr2",32768048,32768448,401,"*",5,"intron"
"chr2",33485668,33486068,401,"*",6,"intron"
"chr2",33510428,33510828,401,"*",4,"intron"
"chr2",33521664,33522064,401,"*",10,"CDS"
"chr2",33581295,33581695,401,"*",6,"intron"
"chr2",33584562,33584962,401,"*",18,"threeUTR"
"chr2",33584994,33585394,401,"*",70,"threeUTR"
"chr2",33599228,33599628,401,"*",770,"promoter"
"chr2",35250551,35250951,401,"*",5,"intergenic"
"chr2",36205749,36206149,401,"*",7,"intergenic"
"chr2",36293395,36293795,401,"*",7,"intergenic"
"chr2",36564424,36564824,401,"*",3,"intron"
"chr2",36564630,36565030,401,"*",4,"intron"
"chr2",36756767,36757167,401,"*",6,"intron"
"chr2",36848121,36848521,401,"*",8,"threeUTR"
"chr2",36848523,36848923,401,"*",6,"threeUTR"
"chr2",36859268,36859668,401,"*",5,"intron"
"chr2",36864100,36864500,401,"*",6,"intron"
"chr2",36902397,36902797,401,"*",13,"CDS"
"chr2",36915887,36916287,401,"*",6,"CDS"
"chr2",36917393,36917793,401,"*",7,"intron"
"chr2",36917527,36917927,401,"*",4,"intron"
"chr2",37101204,37101604,401,"*",21,"threeUTR"
"chr2",37101929,37102329,401,"*",40,"threeUTR"
"chr2",37102725,37103125,401,"*",38,"threeUTR"
"chr2",37146853,37147253,401,"*",16,"promoter"
"chr2",37206029,37206429,401,"*",4,"intron"
"chr2",37213697,37214097,401,"*",12,"threeUTR"
"chr2",37213845,37214245,401,"*",12,"CDS"
"chr2",37221763,37222163,401,"*",7,"intron"
"chr2",37231765,37232165,401,"*",4,"promoter"
"chr2",37242425,37242825,401,"*",5,"threeUTR"
"chr2",37251367,37251767,401,"*",16,"threeUTR"
"chr2",37289030,37289430,401,"*",8,"CDS"
"chr2",37601824,37602224,401,"*",9,"intron"
"chr2",37644869,37645269,401,"*",29,"threeUTR"
"chr2",37645573,37645973,401,"*",31,"threeUTR"
"chr2",37653229,37653629,401,"*",4,"intron"
"chr2",37653635,37654035,401,"*",5,"intron"
"chr2",37655016,37655416,401,"*",7,"intron"
"chr2",37659420,37659820,401,"*",4,"intron"
"chr2",37670595,37670995,401,"*",7,"intron"
"chr2",37672108,37672508,401,"*",26,"promoter"
"chr2",37672388,37672788,401,"*",111,"promoter"
"chr2",37954201,37954601,401,"*",5,"intron"
"chr2",38000303,38000703,401,"*",5,"intron"
"chr2",38073665,38074065,401,"*",8,"promoter"
"chr2",38075858,38076258,401,"*",1124,"promoter"
"chr2",38076324,38076724,401,"*",249,"promoter"
"chr2",38077229,38077629,401,"*",38,"intron"
"chr2",38163275,38163675,401,"*",5,"intron"
"chr2",38295120,38295520,401,"*",6,"threeUTR"
"chr2",38300866,38301266,401,"*",4,"proximal"
"chr2",38307729,38308129,401,"*",5,"intron"
"chr2",38318646,38319046,401,"*",15,"promoter"
"chr2",38327359,38327759,401,"*",2,"intron"
"chr2",38327544,38327944,401,"*",5,"intron"
"chr2",38565018,38565418,401,"*",11,"intron"
"chr2",38735654,38736054,401,"*",7,"intron"
"chr2",38781933,38782333,401,"*",7,"threeUTR"
"chr2",38982835,38983235,401,"*",5,"threeUTR"
"chr2",38985710,38986110,401,"*",8,"threeUTR"
"chr2",39036763,39037163,401,"*",5,"intron"
"chr2",39046851,39047251,401,"*",6,"intron"
"chr2",39048128,39048528,401,"*",5,"intron"
"chr2",39112207,39112607,401,"*",4,"intron"
"chr2",39120543,39120943,401,"*",49,"promoter"
"chr2",39771232,39771632,401,"*",10,"CDS"
"chr2",41953162,41953562,401,"*",4,"promoter"
"chr2",42101707,42102107,401,"*",19,"intergenic"
"chr2",42171921,42172321,401,"*",11,"intron"
"chr2",42179181,42179581,401,"*",7,"intron"
"chr2",42227075,42227475,401,"*",2,"intron"
"chr2",42275272,42275672,401,"*",8,"intron"
"chr2",42275452,42275852,401,"*",8,"intron"
"chr2",42287756,42288156,401,"*",10,"intron"
"chr2",42290275,42290675,401,"*",5,"intron"
"chr2",42323215,42323615,401,"*",4,"intron"
"chr2",42593909,42594309,401,"*",6,"intron"
"chr2",42603197,42603597,401,"*",6,"intron"
"chr2",42703006,42703406,401,"*",6,"proximal"
"chr2",42792879,42793279,401,"*",87,"proximal"
"chr2",43224572,43224972,401,"*",16,"CDS"
"chr2",43231874,43232274,401,"*",6,"intron"
"chr2",43451260,43451660,401,"*",4,"intron"
"chr2",43502692,43503092,401,"*",10,"intron"
"chr2",43574177,43574577,401,"*",12,"threeUTR"
"chr2",43593222,43593622,401,"*",4,"proximal"
"chr2",43773724,43774124,401,"*",174,"promoter"
"chr2",43890838,43891238,401,"*",5,"exon"
"chr2",43896320,43896720,401,"*",14,"promoter"
"chr2",43896437,43896837,401,"*",17,"promoter"
"chr2",43899366,43899766,401,"*",8,"promoter"
"chr2",43916968,43917368,401,"*",6,"promoter"
"chr2",43918031,43918431,401,"*",5,"promoter"
"chr2",43924841,43925241,401,"*",23,"threeUTR"
"chr2",43941664,43942064,401,"*",14,"intron"
"chr2",43947177,43947577,401,"*",4,"threeUTR"
"chr2",43964601,43965001,401,"*",7,"proximal"
"chr2",43979584,43979984,401,"*",8,"promoter"
"chr2",43987327,43987727,401,"*",6,"intron"
"chr2",44181738,44182138,401,"*",4,"intron"
"chr2",44219741,44220141,401,"*",6,"intron"
"chr2",44220759,44221159,401,"*",12,"intron"
"chr2",44232603,44233003,401,"*",9,"threeUTR"
"chr2",44233352,44233752,401,"*",11,"threeUTR"
"chr2",44342115,44342515,401,"*",7,"CDS"
"chr2",44361999,44362399,401,"*",22,"promoter"
"chr2",44391572,44391972,401,"*",5,"threeUTR"
"chr2",44429962,44430362,401,"*",5,"intron"
"chr2",44463802,44464202,401,"*",5,"intron"
"chr2",44466382,44466782,401,"*",4,"intron"
"chr2",44707713,44708113,401,"*",5,"intron"
"chr2",44752790,44753190,401,"*",9,"intron"
"chr2",45477398,45477798,401,"*",14,"intron"
"chr2",45543383,45543783,401,"*",6,"intron"
"chr2",45548258,45548658,401,"*",6,"intron"
"chr2",45599537,45599937,401,"*",6,"CDS"
"chr2",45720893,45721293,401,"*",4,"intron"
"chr2",45868295,45868695,401,"*",7,"intron"
"chr2",46544934,46545334,401,"*",4,"intron"
"chr2",46560919,46561319,401,"*",7,"intron"
"chr2",46584094,46584494,401,"*",7,"threeUTR"
"chr2",46590262,46590662,401,"*",5,"intron"
"chr2",46613756,46614156,401,"*",8,"CDS"
"chr2",46622729,46623129,401,"*",8,"intron"
"chr2",46624394,46624794,401,"*",6,"threeUTR"
"chr2",46624696,46625096,401,"*",10,"threeUTR"
"chr2",46648476,46648876,401,"*",5,"intergenic"
"chr2",46715750,46716150,401,"*",3,"intron"
"chr2",46805803,46806203,401,"*",7,"intron"
"chr2",46902678,46903078,401,"*",21,"threeUTR"
"chr2",46903013,46903413,401,"*",5,"threeUTR"
"chr2",46915411,46915811,401,"*",1022,"promoter"
"chr2",46942407,46942807,401,"*",4,"proximal"
"chr2",46967865,46968265,401,"*",5,"intron"
"chr2",47175022,47175422,401,"*",8,"proximal"
"chr2",47175259,47175659,401,"*",4,"promoter"
"chr2",47175787,47176187,401,"*",7,"promoter"
"chr2",47176436,47176836,401,"*",10703,"promoter"
"chr2",47310770,47311170,401,"*",34,"proximal"
"chr2",47412173,47412573,401,"*",3,"CDS"
"chr2",47458684,47459084,401,"*",4,"intron"
"chr2",47520810,47521210,401,"*",7,"threeUTR"
"chr2",47623049,47623449,401,"*",6,"intron"
"chr2",47799201,47799601,401,"*",8,"threeUTR"
"chr2",47807548,47807948,401,"*",4,"threeUTR"
"chr2",47812966,47813366,401,"*",8,"threeUTR"
"chr2",47822959,47823359,401,"*",9,"CDS"
"chr2",47839234,47839634,401,"*",7,"CDS"
"chr2",47839564,47839964,401,"*",2,"fiveUTR"
"chr2",47845811,47846211,401,"*",5,"intron"
"chr2",47850454,47850854,401,"*",6,"intron"
"chr2",47899586,47899986,401,"*",5,"proximal"
"chr2",48286233,48286633,401,"*",5,"intron"
"chr2",48375445,48375845,401,"*",15,"threeUTR"
"chr2",48441547,48441947,401,"*",6,"proximal"
"chr2",48454342,48454742,401,"*",11,"fiveUTR"
"chr2",48458058,48458458,401,"*",7,"threeUTR"
"chr2",48459593,48459993,401,"*",12,"threeUTR"
"chr2",48462952,48463352,401,"*",13,"intron"
"chr2",48462997,48463397,401,"*",13,"intron"
"chr2",48525690,48526090,401,"*",5,"intergenic"
"chr2",48975045,48975445,401,"*",8,"intron"
"chr2",49679149,49679549,401,"*",8,"intergenic"
"chr2",51030356,51030756,401,"*",2,"intron"
"chr2",51034066,51034466,401,"*",5,"intron"
"chr2",52017944,52018344,401,"*",9,"intron"
"chr2",53786643,53787043,401,"*",2156,"promoter"
"chr2",53787192,53787592,401,"*",11,"promoter"
"chr2",53806519,53806919,401,"*",8,"intron"
"chr2",53866590,53866990,401,"*",14,"threeUTR"
"chr2",53872408,53872808,401,"*",15,"intron"
"chr2",53892748,53893148,401,"*",7,"threeUTR"
"chr2",53902977,53903377,401,"*",7,"intron"
"chr2",53903590,53903990,401,"*",4,"intron"
"chr2",53916257,53916657,401,"*",8,"intron"
"chr2",53948809,53949209,401,"*",5,"CDS"
"chr2",53972819,53973219,401,"*",5,"intron"
"chr2",54237340,54237740,401,"*",7,"intron"
"chr2",54573083,54573483,401,"*",2,"intron"
"chr2",54580066,54580466,401,"*",23,"intron"
"chr2",54597575,54597975,401,"*",6,"intron"
"chr2",54618007,54618407,401,"*",16,"CDS"
"chr2",54634442,54634842,401,"*",8,"intron"
"chr2",54649721,54650121,401,"*",31,"CDS"
"chr2",54662790,54663190,401,"*",6,"promoter"
"chr2",54972904,54973304,401,"*",28,"threeUTR"
"chr2",54973024,54973424,401,"*",21,"threeUTR"
"chr2",55020212,55020612,401,"*",4,"intron"
"chr2",55050005,55050405,401,"*",209,"promoter"
"chr2",55233112,55233512,401,"*",119,"promoter"
"chr2",55235171,55235571,401,"*",19,"CDS"
"chr2",55239880,55240280,401,"*",8,"CDS"
"chr2",55295560,55295960,401,"*",17,"threeUTR"
"chr2",55326007,55326407,401,"*",2,"intron"
"chr2",55334916,55335316,401,"*",12,"proximal"
"chr2",55343431,55343831,401,"*",5,"promoter"
"chr2",55540497,55540897,401,"*",4,"intron"
"chr2",55549696,55550096,401,"*",9,"threeUTR"
"chr2",55558139,55558539,401,"*",4,"intron"
"chr2",55594207,55594607,401,"*",24,"intron"
"chr2",55594367,55594767,401,"*",22,"intron"
"chr2",55598412,55598812,401,"*",11,"CDS"
"chr2",55607219,55607619,401,"*",8,"intron"
"chr2",55607419,55607819,401,"*",8,"intron"
"chr2",55609699,55610099,401,"*",17,"intron"
"chr2",55667590,55667990,401,"*",14,"threeUTR"
"chr2",57081312,57081712,401,"*",6,"intergenic"
"chr2",57709421,57709821,401,"*",5,"intergenic"
"chr2",57879033,57879433,401,"*",4,"intergenic"
"chr2",58053053,58053453,401,"*",9,"intron"
"chr2",58086083,58086483,401,"*",14,"fiveUTR"
"chr2",58088705,58089105,401,"*",5,"intron"
"chr2",58136082,58136482,401,"*",4,"intron"
"chr2",58159307,58159707,401,"*",13,"threeUTR"
"chr2",58163400,58163800,401,"*",5,"promoter"
"chr2",58185612,58186012,401,"*",10,"intron"
"chr2",58206010,58206410,401,"*",7,"promoter"
"chr2",58214953,58215353,401,"*",6,"intron"
"chr2",58215527,58215927,401,"*",6,"intron"
"chr2",58215952,58216352,401,"*",4,"intron"
"chr2",58222271,58222671,401,"*",9,"exon"
"chr2",58229135,58229535,401,"*",4,"proximal"
"chr2",58251774,58252174,401,"*",4,"exon"
"chr2",59406700,59407100,401,"*",5,"intron"
"chr2",60033492,60033892,401,"*",6,"intron"
"chr2",60485360,60485760,401,"*",5,"proximal"
"chr2",60485407,60485807,401,"*",5,"proximal"
"chr2",60524676,60525076,401,"*",9,"exon"
"chr2",60540389,60540789,401,"*",5,"intron"
"chr2",60542669,60543069,401,"*",7,"threeUTR"
"chr2",60888718,60889118,401,"*",10,"intron"
"chr2",60888826,60889226,401,"*",10,"intron"
"chr2",60917018,60917418,401,"*",2,"promoter"
"chr2",60923817,60924217,401,"*",19,"threeUTR"
"chr2",60926446,60926846,401,"*",29,"threeUTR"
"chr2",60927409,60927809,401,"*",5,"threeUTR"
"chr2",60935246,60935646,401,"*",16,"intergenic"
"chr2",60935741,60936141,401,"*",8,"intergenic"
"chr2",60935848,60936248,401,"*",8,"intergenic"
"chr2",61026012,61026412,401,"*",11,"intron"
"chr2",61041307,61041707,401,"*",5,"intron"
"chr2",61162818,61163218,401,"*",9,"proximal"
"chr2",61178325,61178725,401,"*",34,"promoter"
"chr2",61197408,61197808,401,"*",5,"intron"
"chr2",61198240,61198640,401,"*",7,"intron"
"chr2",61200337,61200737,401,"*",6,"exon"
"chr2",61294974,61295374,401,"*",11,"CDS"
"chr2",61296596,61296996,401,"*",6,"CDS"
"chr2",61298740,61299140,401,"*",4,"intron"
"chr2",61301911,61302311,401,"*",4,"proximal"
"chr2",61319543,61319943,401,"*",4,"intron"
"chr2",61327931,61328331,401,"*",4,"intron"
"chr2",61337349,61337749,401,"*",4,"intron"
"chr2",61347799,61348199,401,"*",9,"promoter"
"chr2",61398493,61398893,401,"*",3,"intron"
"chr2",61402601,61403001,401,"*",21,"intron"
"chr2",61412254,61412654,401,"*",9,"intron"
"chr2",61470250,61470650,401,"*",7,"promoter"
"chr2",61499430,61499830,401,"*",17,"proximal"
